발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
20743,계룡시,21570,0,30763,29281,16105,48857,1567,31963,33306,23841,9092,0,충청남도,23125,2023,14467,0,34487,18565,1479,20713,0,16975,금암동,31328,9079,0,637,0,0,22341,14558,0,15778,49836,17643,5891,18649,27665,13603,27448,20290,0,21774,27055,31568,22019,38769,0,3351
21277,계룡시,24288,0,26779,19759,9733,25675,678,30382,18724,29288,6431,0,충청남도,22718,2023,7652,0,33241,18722,494,16211,0,18124,두마면,37567,10214,0,389,0,0,20304,8790,1,13985,25464,18851,7183,10540,23033,13921,24887,12210,0,15788,24440,21576,16939,22294,0,5816
7454,계룡시,7413,0,10352,8233,4708,18448,434,9150,11045,9907,2440,0,충청남도,9778,2023,4041,0,7958,7232,266,5688,0,6577,신도안면,9372,1996,0,0,0,0,10312,3934,6,5896,29208,6961,2902,5746,10358,13515,7649,4431,0,5512,9120,16124,6670,18961,0,1703
28115,계룡시,31402,0,58517,27625,22335,29490,3513,41275,31963,46186,15599,0,충청남도,33899,2023,22961,0,54712,27707,3839,35188,0,21752,엄사면,52733,17407,0,13,0,0,31251,21600,7,22367,33811,21853,9118,21422,30563,11026,42503,24431,0,31718,32689,38652,33225,33748,0,4141
19,공주시,0,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,검상동,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,공주시,1886,0,208,1277,191,257,0,293,1666,3245,0,0,충청남도,61,2023,0,0,193,47,0,312,0,0,계룡면,2550,2,0,0,0,0,2523,87,0,604,728,17,0,171,532,499,179,296,0,364,841,397,216,1352,0,0
25,공주시,1,0,199,4,37,3021,0,0,4,0,0,0,충청남도,13,2023,5,0,23,5,0,23,0,0,교동,439,0,0,0,0,0,0,0,0,2,5,0,0,80,0,0,956,0,0,49,60,468,34,3127,0,0
2,공주시,0,0,143,26,253,2,0,37,0,0,0,0,충청남도,89,2023,2,0,0,42,0,138,0,2,금성동,0,0,0,0,0,0,13,2,0,9,7,46,0,0,2,7,140,187,0,0,19,37,142,24,0,0
1429,공주시,2579,0,1480,1593,547,1965,13,1436,1558,7061,492,0,충청남도,706,2023,586,0,1239,604,0,563,0,347,금흥동,4040,927,0,0,0,0,1673,837,0,923,1575,843,53,388,1711,1680,881,524,0,384,1399,1380,565,1654,0,495
44,공주시,37,0,26,31,26,184,0,44,24,311,4,0,충청남도,18,2023,10,0,52,14,0,27,0,5,동현동,44,0,0,0,0,0,42,3,0,5,22,6,0,48,32,13,39,42,0,45,62,17,17,37,0,3
95,공주시,71,0,63,10,60,42,0,13,69,73,0,0,충청남도,25,2023,0,0,130,11,0,77,0,0,반죽동,69,0,0,0,0,0,35,3,0,8,408,3,0,96,65,0,184,60,0,58,12,62,18,332,0,0
7752,공주시,5724,0,7032,14171,14869,18706,42,5995,8297,3739,2077,0,충청남도,4320,2023,9779,0,8891,2895,553,11115,0,1700,반포면,4976,1962,0,32,0,0,12614,5610,0,9310,16406,2779,404,16814,10875,8152,9619,15696,0,12643,12470,12708,10090,17192,0,4028
0,공주시,161,0,0,0,0,1,0,0,83,45,0,0,충청남도,0,2023,3,0,5,1,0,0,0,0,봉정동,0,0,0,0,0,0,68,0,0,0,8,0,0,3,0,0,1,0,0,9,0,0,0,46,0,0
1299,공주시,874,0,275,180,51,261,0,95,97,649,1,0,충청남도,11,2023,8,0,105,124,0,178,0,1,사곡면,438,18,0,0,0,0,425,1,0,4,134,17,0,46,367,30,64,7,0,20,441,165,21,951,0,1
1669,공주시,49,0,635,2085,1304,871,0,270,30,1612,278,0,충청남도,394,2023,137,0,39,243,0,620,0,13,산성동,749,0,0,0,0,0,1859,388,0,879,1589,331,0,6,60,1090,604,829,0,6,2189,2663,737,1964,0,0
0,공주시,3,0,28,21,0,10,0,11,124,462,0,0,충청남도,0,2023,0,0,0,0,0,47,0,0,상왕동,695,0,0,0,0,0,0,0,0,1,0,0,0,0,69,9,0,0,0,21,261,0,3,31,0,0
0,공주시,311,0,0,0,0,0,0,0,0,25,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,석장리동,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,0,0,0,2,16,0,6,0,0,6
101,공주시,163,0,237,395,166,414,0,253,145,155,64,0,충청남도,56,2023,46,0,157,56,0,118,0,4,송선동,244,0,0,0,0,0,182,73,0,99,445,124,0,291,400,77,131,124,0,66,114,205,122,284,0,0
4608,공주시,6500,0,7920,8510,4325,4802,361,6174,6097,9609,6761,0,충청남도,3374,2023,3473,0,6022,2564,0,4540,0,1387,신관동,9693,1472,0,0,0,0,6882,5870,0,6094,9417,2455,254,3972,8725,4338,4462,3395,0,3673,4764,8696,4845,5989,0,440
44,공주시,456,0,45,32,14,0,0,1,27,67,0,0,충청남도,7,2023,8,0,41,1,0,12,0,0,신풍면,307,26,0,0,0,0,114,0,0,6,59,0,0,6,5,3,21,3,0,8,23,42,21,38,0,4
18,공주시,53,0,140,11,39,32,0,9,66,8,0,0,충청남도,9,2023,1,0,43,2,0,34,0,0,쌍신동,0,2,0,0,0,0,16,1,0,2,23,4,0,75,4,1,35,26,0,32,0,9,37,3,0,1
270,공주시,157,0,630,427,279,326,0,200,40,1089,90,0,충청남도,278,2023,7,0,58,233,0,326,0,10,옥룡동,1287,0,0,0,0,0,466,234,0,312,607,300,0,7,38,433,532,196,0,14,375,490,193,69,0,0
47,공주시,92,0,14,138,7,45,0,14,345,856,0,0,충청남도,46,2023,7,0,56,10,0,69,0,0,우성면,1192,0,0,0,0,0,162,0,0,7,76,0,0,11,27,245,164,146,0,67,63,12,23,138,0,3
31,공주시,1,0,6,11,43,56,0,0,17,0,0,0,충청남도,0,2023,9,0,5,2,0,12,0,0,웅진동,1,0,0,0,0,0,0,0,0,1,7,0,0,39,0,0,25,0,0,3,3,5,23,4,0,0
4029,공주시,5857,0,2207,2800,989,1134,157,1768,2451,8749,309,0,충청남도,1374,2023,530,0,1736,1032,0,1157,0,702,월송동,7688,1369,0,0,0,0,2924,353,0,849,1412,1245,309,601,1969,1324,1699,1285,0,816,3570,2257,1179,1797,0,71
2871,공주시,4022,0,0,2,882,0,0,2165,2749,1906,0,0,충청남도,179,2023,1,0,637,2,0,0,0,0,유구읍,1,368,0,0,0,0,0,0,0,600,1176,0,0,3855,1176,166,2579,0,0,2572,1739,0,526,2321,0,19
14,공주시,348,0,20,0,10,0,0,1,79,84,0,0,충청남도,0,2023,0,0,1,0,0,0,0,0,의당면,0,0,0,0,0,0,1,0,0,1,6,0,0,5,1,3,8,0,0,10,3,34,6,26,0,0
419,공주시,588,0,17,39,47,38,0,11,111,498,0,0,충청남도,10,2023,28,0,32,7,0,27,0,0,이인면,1198,202,0,0,0,0,405,8,0,40,41,1,0,16,24,104,41,7,0,72,186,54,14,99,0,11
611,공주시,503,0,148,167,133,549,0,108,389,687,0,0,충청남도,120,2023,86,0,241,139,0,24,0,0,정안면,720,544,0,0,0,0,660,52,0,63,134,5,0,106,402,110,319,507,0,234,358,508,108,595,0,59
119,공주시,394,0,30,65,9,274,0,24,31,64,0,0,충청남도,15,2023,2,0,49,9,0,31,0,0,주미동,523,0,0,0,0,0,116,0,0,13,35,1,0,21,12,3,36,3,0,31,116,19,15,20,0,0
126,공주시,90,0,274,301,311,1775,16,280,195,159,27,0,충청남도,203,2023,210,0,291,101,0,258,0,45,중동,554,0,0,0,0,0,117,722,0,219,833,248,6,475,519,1345,385,210,0,187,151,414,232,446,0,7
160,공주시,138,0,512,426,296,499,17,521,184,275,26,0,충청남도,457,2023,61,0,460,438,0,567,0,330,중학동,735,47,0,0,0,0,157,30,0,121,182,380,40,364,230,225,603,377,0,359,187,273,460,188,0,27
0,공주시,21,0,29,0,0,216,0,6,7,23,0,0,충청남도,0,2023,5,0,0,0,0,0,0,0,탄천면,224,14,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,1,12,360,0,32,0,3
3,공주시,41,0,8,87,29,3,0,12,0,3,0,0,충청남도,12,2023,3,0,23,5,0,9,0,0,태봉동,6,0,0,0,0,0,2,0,0,2,8,1,0,5,22,3,7,0,0,37,9,1,57,24,0,0
549,금산군,1040,0,10,346,12,18,0,48,128,1602,0,0,충청남도,65,2023,13,0,70,0,0,6,0,0,군북면,1568,378,0,0,0,0,534,0,0,52,191,0,0,2,129,1,3,12,0,11,782,142,45,67,0,0
3487,금산군,2353,0,226,2426,244,240,0,216,2510,3169,0,0,충청남도,162,2023,41,0,337,43,48,181,0,0,금산읍,2769,961,0,0,0,0,3227,0,0,681,1895,0,0,305,1788,328,142,209,0,184,2904,1743,269,2273,0,13
2745,금산군,1812,0,128,1005,31,31,0,129,929,593,0,0,충청남도,55,2023,50,0,127,9,0,91,0,0,금성면,2511,977,0,0,0,0,1045,0,0,182,783,0,0,34,803,10,71,22,0,34,1668,1646,79,1046,0,8
1237,금산군,2817,0,1949,1035,240,1173,0,441,1039,2740,0,0,충청남도,80,2023,163,0,2235,44,0,306,0,19,남이면,833,324,0,0,0,0,1233,832,0,323,4809,191,0,264,187,227,941,275,0,254,555,1047,114,2215,0,1
1712,금산군,3930,0,490,1065,131,275,0,243,2332,4070,0,0,충청남도,216,2023,81,0,308,11,0,118,0,14,남일면,2194,703,0,0,0,0,455,8,0,204,891,1,0,113,210,555,24,77,0,156,1103,1061,29,749,0,5
5453,금산군,7672,0,5580,3264,4353,8128,0,3514,4675,4315,454,0,충청남도,4751,2023,1043,0,5485,2015,0,3450,0,1833,복수면,9271,3092,0,0,0,0,4837,682,0,1374,4370,2810,0,4834,3532,3695,3964,5745,0,4235,4639,6341,4029,3995,0,1567
39,금산군,2060,0,26,309,15,21,0,26,128,238,0,0,충청남도,63,2023,5,0,16,0,0,30,0,0,부리면,1915,364,0,0,0,0,1024,0,0,10,400,0,0,42,55,1,44,42,0,23,667,103,18,439,0,14
1830,금산군,2423,0,37,757,95,22,0,45,757,870,0,0,충청남도,34,2023,16,0,39,6,0,41,0,0,제원면,984,549,0,0,0,0,188,0,0,251,593,0,0,59,224,21,21,10,0,46,682,269,61,337,0,7
4482,금산군,4225,0,2938,3538,2176,3867,0,1466,4004,4559,79,0,충청남도,1074,2023,332,0,1936,1137,13,1643,0,663,진산면,4270,1687,0,1,0,0,2914,237,0,2664,8197,357,0,4116,2973,1429,1580,2035,0,2726,5137,5512,2014,6321,0,1023
21749,금산군,17011,0,17693,23098,13654,12237,43,16511,23989,14556,3345,0,충청남도,15129,2023,8093,0,18035,14416,1788,13843,0,14004,추부면,19139,5870,0,5,0,0,22005,5116,0,12348,26889,13344,5410,15745,18797,11211,15260,12606,0,15007,23683,27322,14381,22253,0,3082
0,논산시,0,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,가야곡면,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
2737,논산시,1692,0,341,2080,1125,600,0,349,1943,1310,0,0,충청남도,221,2023,422,0,474,67,0,824,0,10,강경읍,971,145,0,0,0,0,2556,620,0,885,4672,39,0,1642,2390,434,390,1463,0,298,2850,1535,1563,3228,0,3
442,논산시,456,0,348,202,103,49,0,352,177,37,0,0,충청남도,224,2023,30,0,564,105,0,214,0,4,내동,254,0,0,0,0,0,435,0,0,165,163,0,0,104,101,19,308,119,0,197,158,139,227,243,0,0
2852,논산시,2743,0,2623,2606,2914,652,0,2239,2116,3049,190,0,충청남도,1489,2023,695,0,2183,1117,0,1699,0,485,벌곡면,4247,1150,0,0,0,0,2499,68,0,1233,2222,675,0,2094,2356,2125,1307,3217,0,2524,3006,1502,2097,2620,0,730
454,논산시,0,0,0,0,0,2,0,2,3,0,0,0,충청남도,0,2023,15,0,3,0,0,0,0,0,상월면,572,0,0,0,0,0,0,0,0,0,32,0,0,0,20,0,0,0,0,0,237,0,4,0,0,0
0,논산시,0,0,0,0,0,0,0,0,0,46,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,양촌면,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0
12,논산시,0,0,0,20,2,0,0,4,5,1,0,0,충청남도,0,2023,0,0,9,0,0,15,0,0,연무읍,1,0,0,0,0,0,7,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
809,논산시,1397,0,146,432,435,189,0,134,584,855,14,0,충청남도,88,2023,71,0,232,83,0,76,0,26,연산면,745,0,0,0,0,0,577,22,0,207,723,2,0,346,393,523,160,220,0,180,635,678,156,577,0,0
0,논산시,0,0,0,0,1,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,채운면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,당진시,201,0,239,50,213,93,0,275,46,210,0,0,충청남도,206,2023,15,0,283,262,0,158,0,0,고대면,45,1,0,0,0,0,141,0,0,20,74,328,0,220,39,94,243,143,0,143,78,16,163,54,0,56
17,당진시,19,0,0,2,0,184,0,0,0,1543,0,0,충청남도,0,2023,0,0,0,0,0,2,0,0,대덕동,2200,0,0,0,0,0,0,0,0,0,0,0,0,3,0,303,0,1,0,0,0,0,0,0,0,0
495,당진시,608,0,50,27,255,112,0,78,95,310,0,0,충청남도,22,2023,1,0,46,7,0,73,0,0,대호지면,109,263,0,0,0,0,159,0,0,22,13,0,0,119,98,175,86,112,0,26,215,129,145,57,0,45
0,당진시,0,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,면천면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0
1504,당진시,2266,0,174,1269,388,608,0,109,1405,816,2,0,충청남도,120,2023,118,0,237,217,0,280,0,4,석문면,867,29,0,0,0,0,275,5,0,620,133,70,0,263,693,280,119,538,0,226,162,1191,161,81,0,36
684,당진시,227,0,1081,396,307,350,0,776,97,490,0,0,충청남도,693,2023,32,0,2153,475,0,552,0,0,송산면,397,0,0,0,0,0,78,0,0,36,398,0,0,243,65,361,1166,299,0,457,146,77,578,54,0,0
384,당진시,330,0,280,301,158,206,0,127,224,641,1,0,충청남도,131,2023,105,0,301,101,0,395,0,78,송악읍,385,9,0,0,0,0,144,26,0,106,290,45,3,97,128,391,174,146,0,166,233,339,202,164,0,154
1078,당진시,585,0,408,266,335,291,0,380,693,712,0,0,충청남도,102,2023,35,0,931,37,0,119,0,0,순성면,621,31,0,0,0,0,301,4,0,74,1537,59,0,114,375,688,548,235,0,202,860,764,290,844,0,1
2307,당진시,3876,0,3164,3143,1575,1741,2,2011,2411,4441,464,0,충청남도,1824,2023,650,0,4255,552,0,2095,0,342,신평면,3771,905,0,0,0,0,2102,598,0,2530,8244,408,1,1676,2843,4679,2787,1717,0,1751,3060,5004,2236,4473,0,120
470,당진시,154,0,68,37,59,51,0,85,422,630,0,0,충청남도,16,2023,4,0,150,24,0,45,0,4,우강면,419,0,0,0,0,0,76,5,0,7,66,9,0,57,40,157,127,30,0,211,86,55,43,191,0,0
2319,당진시,2648,0,2134,2964,960,815,11,1718,2303,2876,441,0,충청남도,458,2023,1304,0,2792,289,0,1568,0,87,원당동,2961,21,0,0,0,0,2233,686,1,1208,2515,165,2,760,2382,347,2124,1262,0,664,1914,2330,1522,2471,0,2
1356,당진시,1873,0,1000,1439,410,791,0,743,550,790,0,0,충청남도,391,2023,328,0,687,161,0,450,0,0,읍내동,3855,0,0,0,0,0,1458,89,0,654,1883,32,0,664,1375,111,341,372,0,205,1780,1404,391,1400,0,0
64,당진시,154,0,11,1,26,4,0,2,2,119,0,0,충청남도,6,2023,1,0,58,1,0,9,0,0,정미면,81,0,0,0,0,0,101,0,0,9,2,0,0,14,0,2,36,12,0,1,262,36,27,63,0,0
0,당진시,0,0,0,0,0,0,0,0,0,11,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,채운동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
272,당진시,3884,0,67,400,73,541,0,164,419,1341,0,0,충청남도,42,2023,27,0,356,129,0,342,0,0,합덕읍,1538,11,0,0,0,0,258,9,0,62,205,50,0,470,85,436,461,137,0,393,709,224,184,286,0,6
2,당진시,1,0,46,8,169,92,0,91,0,0,0,0,충청남도,11,2023,0,0,70,10,0,26,0,32,행정동,0,0,0,0,0,0,1,0,0,1,1,6,0,6,1,29,66,41,0,28,6,2,32,3,0,1
1155,보령시,1169,0,577,854,576,455,0,384,789,755,15,0,충청남도,344,2023,203,0,684,170,0,418,0,97,궁촌동,852,313,0,0,0,0,1339,112,0,378,581,108,1,527,426,306,509,548,0,388,736,573,550,764,0,42
1167,보령시,1406,0,392,455,284,165,0,236,854,1132,5,0,충청남도,192,2023,45,0,444,104,0,328,0,14,남곡동,1825,77,0,0,0,0,778,42,0,107,352,89,0,229,162,112,460,319,0,401,800,286,423,363,0,14
6320,보령시,12603,0,1127,2660,915,933,0,1043,4858,5923,1,36,충청남도,322,2023,188,0,1435,129,0,946,0,1,남포면,5182,561,0,0,0,0,4977,177,1,693,3174,169,0,1337,2126,1056,815,862,0,1266,5035,2878,1525,2388,0,62
13188,보령시,7410,0,5475,9681,4482,4901,0,4984,11829,2781,190,0,충청남도,2947,2023,2684,0,6811,2356,0,6203,0,129,내항동,6795,369,0,0,0,0,9460,2558,0,5335,12907,459,0,4112,6691,2719,6398,6435,0,7137,15074,8966,7270,16328,0,209
47088,보령시,44941,0,14312,34179,13983,16259,0,10226,47550,38951,341,0,충청남도,4988,2023,8634,0,19734,3640,0,11181,0,353,대천동,39415,2515,0,0,0,0,51169,8700,0,14565,60902,2765,6,14028,33863,13609,13725,11897,0,11597,52435,45182,13393,54136,0,251
6913,보령시,9814,0,8110,4456,3885,7317,0,5444,5879,11572,8,0,충청남도,2716,2023,387,0,10745,1810,0,3974,0,498,동대동,11677,207,0,0,0,0,6148,747,0,927,8642,1224,10,4319,2319,5377,6379,3993,0,4185,6462,3131,5012,4596,0,10
39187,보령시,51284,0,11469,27250,9719,15279,12,7583,31318,60123,1721,13,충청남도,3609,2023,7494,0,14588,2508,0,9592,0,316,명천동,57985,7326,0,0,0,0,35809,7264,17,9709,37775,2228,0,8757,18946,13167,10421,8595,0,9234,33108,25109,9909,27733,0,575
1394,보령시,1899,0,100,1231,213,225,0,195,1687,1535,0,0,충청남도,19,2023,4,0,149,28,0,393,0,0,미산면,2015,431,0,0,0,0,965,0,0,16,207,4,0,200,788,262,52,281,0,112,2278,469,514,319,0,3
1830,보령시,3334,0,466,1142,297,558,0,265,1316,3494,0,0,충청남도,158,2023,172,0,632,101,0,411,0,0,성주면,3313,119,0,0,0,0,1616,10,0,148,962,53,0,274,250,639,377,400,0,437,1348,871,321,1080,0,0
15332,보령시,14244,0,6938,17839,9068,7741,0,5603,16895,15174,7277,0,충청남도,4351,2023,8269,0,11489,3002,0,9024,0,901,신흑동,14045,3441,0,0,0,0,16844,5054,0,10092,32103,2640,0,6473,17469,4350,11458,7835,0,10870,17504,18594,11714,23195,0,1030
2768,보령시,2473,0,366,1564,529,397,0,169,1436,3095,0,0,충청남도,162,2023,179,0,711,69,0,529,0,0,오천면,5159,619,0,0,0,0,1148,25,0,400,1424,33,0,265,544,621,336,345,0,299,837,727,412,939,0,10
1693,보령시,2221,0,437,1156,546,705,0,589,910,1410,336,0,충청남도,342,2023,490,0,499,392,0,359,0,95,요암동,2523,72,0,0,0,0,933,190,0,911,1035,291,3,589,1443,468,430,395,0,370,1171,1065,404,1070,0,35
13990,보령시,13025,0,2632,7435,2755,3047,0,1795,8742,8799,4,0,충청남도,572,2023,524,0,2953,354,0,2232,0,6,웅천읍,15259,520,0,0,0,0,8687,803,0,1007,9633,571,0,2509,3212,2673,2266,2028,0,2571,8145,5773,2373,5697,0,22
4084,보령시,7729,0,664,2119,566,533,0,486,2485,8963,0,0,충청남도,201,2023,249,0,748,176,0,521,0,0,주교면,4787,106,0,0,0,0,3281,73,0,261,1860,165,0,540,899,1307,683,436,0,500,2722,1537,568,2572,0,25
2529,보령시,3275,0,445,1467,346,1471,0,232,1948,1496,0,0,충청남도,121,2023,8,0,1093,47,0,320,0,7,주산면,4113,433,0,0,0,0,1359,45,0,295,3759,18,0,447,533,83,1011,383,0,250,1482,1750,428,2796,0,1
2722,보령시,3673,0,704,2493,470,523,10,366,2037,4025,0,3,충청남도,284,2023,167,0,602,160,0,425,0,0,주포면,4653,121,0,0,0,0,1122,155,3,515,2532,177,0,367,932,543,692,308,0,503,3208,2155,462,2594,0,46
4533,보령시,6485,0,1487,2607,688,1436,0,1001,2801,9085,0,0,충청남도,499,2023,371,0,1994,261,0,799,0,0,죽정동,9900,283,0,0,0,0,2910,98,0,619,3145,135,0,474,1469,1585,983,621,0,613,3933,2262,778,1873,0,29
5288,보령시,4643,0,641,2135,682,496,0,660,3064,4663,0,0,충청남도,451,2023,566,0,823,212,0,553,0,0,천북면,6106,36,0,0,0,0,4581,0,0,1050,1820,1,0,507,1756,294,317,630,0,590,2291,1612,607,1681,0,26
3148,보령시,3409,0,217,1054,208,232,0,232,1219,3161,0,0,충청남도,114,2023,39,0,250,76,0,326,0,0,청라면,5435,1356,0,0,0,0,2101,6,0,114,1790,56,0,296,690,188,225,257,0,245,2368,838,243,1002,0,50
2456,보령시,3754,0,314,974,486,304,0,385,1083,4249,0,0,충청남도,137,2023,82,0,195,83,0,182,0,4,청소면,2043,98,0,0,0,0,964,12,0,127,603,33,0,215,466,261,212,218,0,566,1643,245,284,752,0,5
391,보령시,27,0,32,135,26,4,0,34,45,461,0,0,충청남도,6,2023,10,0,8,2,0,10,0,0,화산동,227,8,0,0,0,0,22,0,0,25,4,3,0,6,27,18,3,0,0,15,21,9,8,11,0,0
82,부여군,144,0,1,112,10,16,0,11,1,159,0,0,충청남도,5,2023,0,0,11,0,0,5,0,0,규암면,38,0,0,0,0,0,0,0,0,26,70,0,0,20,145,77,0,0,0,0,212,27,22,0,0,0
1066,부여군,758,0,78,756,121,95,0,133,7,16,0,0,충청남도,72,2023,15,0,3,68,0,150,0,0,부여읍,877,11,0,0,0,0,854,0,0,313,12,0,0,92,288,8,30,147,0,1,303,237,51,93,0,0
0,부여군,4,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,양화면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,부여군,3,0,5,12,1,1,0,2,15,5,0,0,충청남도,1,2023,0,0,1,1,0,3,0,0,외산면,4,1,0,0,0,0,3,0,0,0,8,0,0,2,1,1,1,1,0,0,7,1,0,2,0,0
15,부여군,17,0,0,14,30,0,0,13,0,10,0,0,충청남도,4,2023,0,0,6,1,0,4,0,0,은산면,38,4,0,0,0,0,624,0,0,3,281,0,0,4,13,2,38,87,0,0,24,5,3,160,0,0
1,부여군,3,0,0,0,1,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,홍산면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,서산시,0,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,갈산동,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,서산시,0,0,6,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,2,0,0,고북면,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0
48,서산시,795,0,37,225,16,27,0,26,242,685,0,0,충청남도,5,2023,366,0,9,10,0,61,0,0,대산읍,336,4,0,0,0,0,165,122,0,157,257,12,0,21,464,39,33,87,0,14,143,404,10,267,0,3
158,서산시,100,0,147,300,598,768,0,54,285,5,0,0,충청남도,16,2023,147,0,1535,9,0,346,0,0,동문동,141,0,0,0,0,0,195,30,0,321,593,1,0,826,586,37,290,588,0,823,484,570,881,417,0,0
407,서산시,174,0,57,40,34,25,0,60,103,622,0,0,충청남도,4,2023,2,0,20,2,0,26,0,0,부석면,1017,21,0,0,0,0,35,0,0,24,52,0,0,29,15,36,82,31,0,38,97,16,67,35,0,2
693,서산시,1067,0,367,721,232,96,0,176,763,714,0,0,충청남도,66,2023,1,0,794,4,0,299,0,0,석림동,400,1,0,0,0,0,644,0,0,17,2366,0,0,188,237,485,917,420,0,320,1100,922,415,2299,0,5
744,서산시,2547,0,1228,282,314,647,0,1464,634,3034,0,0,충청남도,1155,2023,63,0,1229,137,0,350,0,0,성연면,3556,7,0,0,0,0,641,117,0,315,730,234,0,390,460,678,1847,602,0,219,964,940,1210,1538,0,19
301,서산시,327,0,50,211,44,70,0,19,170,243,0,0,충청남도,3,2023,16,0,19,7,0,23,0,0,수석동,446,66,0,0,0,0,228,1,0,24,119,8,0,27,353,14,36,21,0,59,505,174,62,184,0,0
139,서산시,328,0,168,194,125,316,0,166,128,445,0,0,충청남도,32,2023,50,0,137,33,0,105,0,0,예천동,750,48,0,0,0,0,354,37,0,45,186,21,0,198,245,180,114,88,0,103,125,269,80,209,0,4
0,서산시,0,0,0,0,0,0,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,오남동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,서산시,13,0,12,1,0,57,0,1,0,10,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,운산면,117,0,0,0,0,0,15,0,0,0,0,9,0,2,1,1,3,0,0,0,31,10,25,0,0,0
9,서산시,17,0,0,0,1,1,0,0,0,0,0,0,충청남도,0,2023,0,0,0,0,0,0,0,0,음암면,3,0,0,0,0,0,17,0,0,0,0,0,0,7,0,13,0,6,0,0,0,0,0,9,0,0
251,서산시,283,0,0,1,5,9,0,0,0,33,0,0,충청남도,0,2023,1,0,8,0,0,0,0,0,인지면,174,23,0,0,0,0,3,0,0,6,26,0,0,3,2,0,17,0,0,0,77,0,4,122,0,1
36,서산시,411,0,121,70,69,16,0,233,73,381,0,0,충청남도,98,2023,2,0,188,69,0,116,0,0,지곡면,19,319,0,0,0,0,23,3,0,9,20,48,0,31,10,119,2,89,0,9,16,10,116,0,0,4
3,서산시,14,0,91,8,18,6,0,3,3,16,0,0,충청남도,7,2023,0,0,0,0,0,10,0,0,팔봉면,1,5,0,0,0,0,0,0,0,0,0,0,0,6,0,8,7,2,0,0,0,1,1,6,0,5
57,서산시,50,0,34,75,25,64,0,38,65,579,0,0,충청남도,1,2023,0,0,38,18,0,32,0,0,해미면,150,78,0,0,0,0,208,0,0,0,24,5,0,58,40,1690,24,40,0,58,41,86,61,0,0,0
99,서천군,109,0,1,17,6,2,0,4,96,146,0,0,충청남도,3,2023,0,0,5,0,0,9,0,0,기산면,130,0,0,0,0,0,71,0,0,2,6,0,0,7,13,1,1,8,0,7,6,13,3,8,0,0
